site_id,site_type,processing_group,instrument_type,logger_serial,sensor_serial,height_m,shielding,deployed_at_utc,retrieved_at_utc,latitude,longitude,elevation_m,wind_direction_offset_deg,status,notes
A04,on_ice_standard,on_ice,hobo_temp,22133641,,1,shielded,2025-06-22T02:00:00Z,2025-07-27T22:55:00Z,58.66958,-134.3067,1237.0,,,
A05,on_ice_standard,on_ice,hobo_temp_light,10383220,,0,unshielded,2025-06-17T01:50:00Z,2025-07-27T23:16:00Z,58.69179,-134.26079,1300.0,,,
A05,on_ice_standard,on_ice,hobo_temp,22133644,,2,shielded,2025-06-17T01:50:00Z,2025-07-27T23:16:00Z,58.69179,-134.26079,1300.0,,,
A05,on_ice_standard,on_ice,hobo_temp,22133664,,1,shielded,2025-06-17T01:50:00Z,2025-07-27T23:16:00Z,58.69179,-134.26079,1300.0,,,
A06,on_ice_standard,on_ice,hobo_temp_light,10568651,,0,unshielded,2025-06-17T00:49:00Z,2025-08-02T22:16:00Z,58.7693,-134.19497,1544.0,,,
A06,on_ice_standard,on_ice,hobo_temp,22133660,,1,shielded,2025-06-17T00:49:00Z,2025-08-02T22:16:00Z,58.7693,-134.19497,1544.0,,,
A06,on_ice_standard,on_ice,hobo_temp,22133672,,2,shielded,2025-06-17T00:49:00Z,2025-08-02T22:16:00Z,58.7693,-134.19497,1544.0,,,
A07,on_ice_standard,on_ice,hobo_temp_light,10568642,,0,unshielded,2025-06-18T03:20:00Z,2025-07-31T00:51:00Z,58.83711,-134.16882,1825.0,,,
A07,on_ice_standard,on_ice,hobo_temp,22133640,,1,shielded,2025-06-18T03:20:00Z,2025-07-31T00:51:00Z,58.83711,-134.16882,1825.0,,,
A07,on_ice_standard,on_ice,hobo_temp,22133667,,2,shielded,2025-06-18T03:20:00Z,2025-07-31T00:51:00Z,58.83711,-134.16882,1825.0,,,
A08,on_ice_standard,on_ice,hobo_temp,22133642,,2,shielded,2025-06-18T03:35:00Z,2025-07-29T00:28:00Z,58.90988,-134.10559,1767.0,,,
A08,on_ice_standard,on_ice,hobo_temp,22133665,,1,shielded,2025-06-18T03:35:00Z,2025-07-29T00:28:00Z,58.90988,-134.10559,1767.0,,,
A10,on_ice_standard,on_ice,hobo_temp,22133656,,1,shielded,2025-06-18T00:15:00Z,2025-08-08T08:00:00Z,58.99744,-134.11973,1476.0,,,
A10,on_ice_standard,on_ice,hobo_temp,22133683,,2,shielded,2025-06-18T00:15:00Z,2025-08-08T08:00:00Z,58.99744,-134.11973,1476.0,,,
A10,on_ice_standard,on_ice,hobo_temp_light,9668113,,0,unshielded,2025-06-18T00:15:00Z,2025-08-08T08:00:00Z,58.99744,-134.11973,1476.0,,,
B01,on_ice_standard,on_ice,hobo_temp,22133671,,1,shielded,2025-06-20T22:20:00Z,2025-07-07T03:16:00Z,58.57443,-134.25014,1097.0,,,
B01,on_ice_standard,on_ice,hobo_temp,22133687,,2,shielded,2025-06-20T22:20:00Z,2025-07-07T03:16:00Z,58.57443,-134.25014,1097.0,,,
B02,on_ice_standard,on_ice,hobo_temp,22133663,,1,shielded,2025-06-13T01:07:00Z,2025-07-07T02:45:00Z,58.53802,-134.2998,1212.0,,,There was a 0 cm sensor here that failed before being deployed
B02,on_ice_standard,on_ice,hobo_temp,22133680,,2,shielded,2025-06-13T01:07:00Z,2025-07-07T02:45:00Z,58.53802,-134.2998,1212.0,,,There was a 0 cm sensor here that failed before being deployed
B03,on_ice_standard,on_ice,hobo_temp,22133624,,1,shielded,2025-06-13T00:45:00Z,2025-07-07T02:04:00Z,58.5024,-134.33709,1209.0,,,
B03,on_ice_standard,on_ice,hobo_temp,22133635,,2,shielded,2025-06-13T00:45:00Z,2025-07-07T02:04:00Z,58.5024,-134.33709,1209.0,,,
C02,on_ice_standard,on_ice,hobo_temp,22133625,,1,shielded,2025-06-21T01:10:00Z,2025-07-15T00:07:00Z,58.62039,-134.31916,1237.0,,,
C02,on_ice_standard,on_ice,hobo_temp,22133637,,2,shielded,2025-06-21T01:10:00Z,2025-07-15T00:07:00Z,58.62039,-134.31916,1237.0,,,
D01,on_ice_standard,on_ice,hobo_temp,22133646,,2,shielded,2025-06-22T01:20:00Z,2025-07-17T20:41:00Z,58.68831,-134.38218,1333.0,,,
D01,on_ice_standard,on_ice,hobo_temp,22133652,,1,shielded,2025-06-22T01:20:00Z,2025-07-17T20:41:00Z,58.68831,-134.38218,1333.0,,,
D02,on_ice_standard,on_ice,hobo_temp,22133659,,2,shielded,2025-06-21T21:25:00Z,2025-07-16T22:41:00Z,58.68347,-134.44378,1406.0,,,
D02,on_ice_standard,on_ice,hobo_temp,22133686,,1,shielded,2025-06-21T21:25:00Z,2025-07-16T22:41:00Z,58.68347,-134.44378,1406.0,,,
D04,on_ice_standard,on_ice,hobo_temp,22133630,,2,shielded,2025-06-21T20:25:00Z,2025-07-16T21:17:00Z,58.64266,-134.54149,1564.0,,,
D04,on_ice_standard,on_ice,hobo_temp,22133636,,1,shielded,2025-06-21T20:25:00Z,2025-07-16T21:17:00Z,58.64266,-134.54149,1564.0,,,
E01,on_ice_standard,on_ice,hobo_temp,22133647,,1,shielded,2025-06-22T00:35:00Z,2025-07-17T05:30:00Z,58.633,-134.41981,1477.0,,,
E01,on_ice_standard,on_ice,hobo_temp,22133653,,2,shielded,2025-06-22T00:35:00Z,2025-07-17T05:30:00Z,58.633,-134.41981,1477.0,,,
E03,on_ice_standard,on_ice,hobo_temp,22133626,,1,shielded,2025-06-21T23:25:00Z,2025-07-17T00:58:00Z,58.57856,-134.41147,1595.0,,,
E03,on_ice_standard,on_ice,hobo_temp,22133674,,2,shielded,2025-06-21T23:25:00Z,2025-07-17T00:58:00Z,58.57856,-134.41147,1595.0,,,
E04,on_ice_standard,on_ice,hobo_temp,22133643,,2,shielded,2025-06-21T22:45:00Z,2025-07-17T00:15:00Z,58.53996,-134.39298,1584.0,,,
E04,on_ice_standard,on_ice,hobo_temp,22133657,,1,shielded,2025-06-21T22:45:00Z,2025-07-17T00:15:00Z,58.53996,-134.39298,1584.0,,,
F03,on_ice_standard,on_ice,hobo_temp,22133668,,1,shielded,2025-06-22T19:45:00Z,2025-07-26T19:59:00Z,58.82171,-134.21209,1782.0,,,
F03,on_ice_standard,on_ice,hobo_temp,22133685,,2,shielded,2025-06-22T19:45:00Z,2025-07-26T19:59:00Z,58.82171,-134.21209,1782.0,,,
F05,on_ice_standard,on_ice,hobo_temp,22133629,,1,shielded,2025-06-22T20:20:00Z,2025-07-26T21:28:00Z,58.81264,-134.16386,1793.0,,,
F05,on_ice_standard,on_ice,hobo_temp,22133669,,2,shielded,2025-06-22T20:20:00Z,2025-07-26T21:28:00Z,58.81264,-134.16386,1793.0,,,
F06,on_ice_standard,on_ice,hobo_temp_light,10908287,,0,unshielded,2025-06-22T23:00:00Z,2025-07-26T20:51:00Z,58.80668,-134.14089,1983.0,,,
F06,on_ice_standard,on_ice,hobo_temp,22133673,,2,shielded,2025-06-22T23:00:00Z,2025-07-26T20:51:00Z,58.80668,-134.14089,1983.0,,,
F06,on_ice_standard,on_ice,hobo_temp,22133676,,1,shielded,2025-06-22T23:00:00Z,2025-07-26T20:51:00Z,58.80668,-134.14089,1983.0,,,
G01,on_ice_standard,on_ice,hobo_temp,22133648,,2,shielded,2025-06-23T02:30:00Z,2025-07-19T00:57:00Z,58.62173,-134.26298,1128.0,,,
G01,on_ice_standard,on_ice,hobo_temp,22133675,,1,shielded,2025-06-23T02:30:00Z,2025-07-19T00:57:00Z,58.62173,-134.26298,1128.0,,,
G02,on_ice_standard,on_ice,hobo_temp,22133628,,2,shielded,2025-06-23T02:50:00Z,2025-07-19T01:16:00Z,58.62827,-134.25018,1125.0,,,
G02,on_ice_standard,on_ice,hobo_temp,22133666,,1,shielded,2025-06-23T02:50:00Z,2025-07-19T01:16:00Z,58.62827,-134.25018,1125.0,,,
G03,on_ice_standard,on_ice,hobo_temp,10568620,,1,shielded,,,,,,,,Two jeremy pendants were used for the 1m level. Software label for 2m level was mistakenly C02
G03,on_ice_standard,on_ice,hobo_temp,22133651,,2,shielded,,,,,,,,Two jeremy pendants were used for the 1m level. Software label for 2m level was mistakenly C02
G03,on_ice_standard,on_ice,hobo_temp,10383462,,1,shielded,,,,,,,,
G04,on_ice_standard,on_ice,hobo_temp,22133655,,1,shielded,2025-06-23T13:15:00Z,2025-07-19T02:00:00Z,58.65039,-134.21077,1091.0,,,Software label was mistakenly C01
G04,on_ice_standard,on_ice,hobo_temp,22133670,,2,shielded,2025-06-23T13:15:00Z,2025-07-19T02:00:00Z,58.65039,-134.21077,1091.0,,,Software label was mistakenly C01
divide,on_ice_intensive,on_ice_intensive,hobo_temp_light,22038776,,2,unshielded,2025-06-20T00:30:00Z,2025-07-31T00:06:00Z,58.85757,-134.15845,1858.0,18.0,,
divide,on_ice_intensive,on_ice_intensive,hobo_temp,22133654,,2,shielded,2025-06-20T00:30:00Z,2025-07-31T00:06:00Z,58.85757,-134.15845,1858.0,18.0,,
lee1,on_ice_intensive,on_ice_intensive,hobo_temp_light,22038777,,2,unshielded,2025-06-18T03:00:00Z,2025-07-29T00:22:00Z,58.93683,-134.10061,1701.0,18.0,,
lee1,on_ice_intensive,on_ice_intensive,hobo_temp,22133649,,2,shielded,2025-06-18T03:00:00Z,2025-07-29T00:22:00Z,58.93683,-134.10061,1701.0,18.0,,
lee2,on_ice_intensive,on_ice_intensive,hobo_temp_light,22038778,,2,unshielded,2025-06-17T22:10:00Z,2025-08-04T22:54:00Z,59.01803,-134.08401,1400.0,-7.0,,
lee2,on_ice_intensive,on_ice_intensive,hobo_temp,22133662,,2,shielded,2025-06-17T22:10:00Z,2025-08-04T22:54:00Z,59.01803,-134.08401,1400.0,-7.0,,
windward1,on_ice_intensive,on_ice_intensive,hobo_temp_light,22038779,,2,unshielded,2025-06-20T02:35:00Z,2025-07-31T01:23:00Z,58.80989,-134.19476,1751.0,18.0,,
windward1,on_ice_intensive,on_ice_intensive,hobo_temp,22133658,,2,shielded,2025-06-20T02:35:00Z,2025-07-31T01:23:00Z,58.80989,-134.19476,1751.0,18.0,,
windward2,on_ice_intensive,on_ice_intensive,hobo_temp_light,22038781,,2,unshielded,2025-06-23T01:45:00Z,2025-07-28T00:03:00Z,58.71779,-134.21329,1405.0,18.0,,
windward2,on_ice_intensive,on_ice_intensive,hobo_temp,22133681,,2,shielded,2025-06-23T01:45:00Z,2025-07-28T00:03:00Z,58.71779,-134.21329,1405.0,18.0,,
divide,on_ice_intensive,on_ice_intensive,pace_logger,EM54053,,,,2025-06-19T22:42:00Z,2025-08-04T20:32:00Z,58.85757,-134.15845,1858.0,18.0,,
lee1,on_ice_intensive,on_ice_intensive,pace_logger,EM54052,,,,2025-06-18T01:13:00Z,2025-08-04T20:43:00Z,58.93683,-134.10061,1701.0,18.0,,
lee2,on_ice_intensive,on_ice_intensive,pace_logger,EM55055,,,,2025-06-17T22:13:00Z,2025-08-13T18:48:00Z,59.01803,-134.08401,1400.0,-7.0,,
windward1,on_ice_intensive,on_ice_intensive,pace_logger,EM54054,,,,2025-06-20T01:40:00Z,2025-08-04T20:15:00Z,58.80989,-134.19476,1751.0,18.0,,
windward2,on_ice_intensive,on_ice_intensive,pace_logger,EM54051,,,,2025-06-23T01:21:00Z,2025-08-04T19:56:00Z,58.71779,-134.21329,1405.0,18.0,,
