sensor_key,site_name,sensor_height,sensor_id,column_index,PC1_loading,PC2_loading,PC3_loading,PC4_loading,PC5_loading,PC6_loading,PC7_loading,PC8_loading,PC9_loading,PC10_loading,PC11_loading,PC12_loading,PC13_loading,PC14_loading,PC15_loading,PC16_loading,PC17_loading,PC18_loading,PC19_loading,PC20_loading,PC21_loading,PC22_loading,PC23_loading,PC24_loading,PC25_loading,PC26_loading,PC27_loading,PC28_loading,PC29_loading,PC30_loading,PC31_loading,PC32_loading
G01_1m_22133675,G01,1m,22133675,20,0.8955227498383066,0.0579528699908659,0.2792074606095155,-0.07594724978969035,-0.10747810052458505,0.04973117824782005,-0.2255430925612882,-0.025686925276200864,0.006190158521734159,0.014178247504928018,0.035731024648715845,0.15102737752343964,-0.092914924026211,-0.08593558553292936,-0.014518682857120059,0.009828140728433302,-0.056670307678390125,0.006286748398470471,-0.022283087585473826,-0.030683885503823078,-0.005879760089181029,0.019152672529603492,0.021892507932967615,0.024299663555163827,-0.0006685077575417516,-0.0163981761348566,-0.0059863321172291635,0.02498304732337955,0.003960926681340654,0.011675342482553329,0.0014191340144831784,0.0007325121584758006
G03_1m_22133655,G03,1m,22133655,21,0.9198299923186118,-0.16416160717622766,-0.08454880675028933,-0.015101927498375405,-0.004577706212969087,0.02145976935630042,-0.008888009830368422,0.2163815687245391,-0.12723058708952356,0.16644995594174308,-0.0941608792396453,-0.01698485502639091,-0.038131027526210136,0.018908079699002642,-0.10204147659546216,-0.08516528460479443,-0.022242677991012913,-0.018032450888425398,0.0026248433765483892,-0.007569698343957133,0.008444981934210767,0.0005967725535685398,0.0008603411335468226,0.002095366750177738,0.004289438824212875,0.0008838106583535821,0.005026154028976411,-0.005331107472939764,-0.005120786387491804,-0.0023943508505102477,0.03150416549069622,-0.010317554605368647
A03_1m_22133634,A03,1m,22133634,22,0.9055229898939965,-0.0019649435609334215,0.2155065831432247,0.1065612165189076,-0.027098303733961108,0.079338614498529,-0.12999051959075242,0.0874715181858586,0.23833789057420154,-0.005671942138138944,0.02667979519594994,-0.1685517289230519,0.022235480958457187,0.016910327394432118,0.012927985282137776,-0.015534711880610258,-0.027046913918042474,-0.01369356194148575,0.012068602057534536,-0.038189167580955904,0.03488104122903654,0.036313682403394894,-0.00570839410053892,-0.018717510734204364,-0.019724260452656094,0.0034212257570820953,0.010133364025659185,-0.006055782219117889,-0.001297316780669819,-0.0010113905774498694,-0.002958912616862353,0.0007071147110580884
G03_2m_22133670,G03,2m,22133670,23,0.9118637179165188,-0.18624108065521952,-0.10481863621244615,-0.02916996759200994,-0.006500253615985195,0.01116682138065528,-0.023421235458084836,0.21793829796009517,-0.12506179295368772,0.16925359949535201,-0.0989852963249286,-0.013971940926949993,-0.03135568433379276,0.019996612122775752,-0.09585056777193694,-0.09704570878457168,-0.01879073866280196,-0.010853966515867975,0.009446840729955646,0.011116613477778401,-0.011923552250201499,0.0010024442753673514,-0.0017538800381868454,-0.004789189732911528,-0.004980617850303255,0.0021678095187794783,-0.0037286611721516223,0.004404482955785264,0.0037022525698817404,0.001570686878959171,-0.030772468273269026,0.010276056663111674
D04_2m_22133630,D04,2m,22133630,24,0.8101787628317391,-0.3952783733061289,-0.24828996724073377,-0.09843067558406302,0.005906972805270033,0.213681649620339,0.08173329971642461,-0.04701534670312578,0.07643622206406285,0.08198582336758835,-0.0675384762264659,0.1101717057469308,0.16488312988242762,-0.02016868841074373,0.022078978843881412,0.0618737915881415,-0.016742189560958007,-0.01485353821636788,0.011119018615769206,0.015849351547834373,-0.004837618768797461,0.014485251549758752,-0.004656814495020713,-0.002905140831889388,-0.014929695827276936,0.003299712114783858,-0.022649703143619776,0.013677642712648447,-0.01780299994337675,-0.01543107662303502,0.006638175544185492,0.009616884676827765
E04_2m_22133643,E04,2m,22133643,25,0.7763286268976007,-0.4041429361218761,-0.33951484486147915,-0.21773464433879466,-0.03438793846739959,-0.1295822839026885,-0.0933158708753002,0.05344787993085085,-0.025009800890117395,-0.11002627456059005,0.01156758276466048,0.008673783141738157,0.033315964624898234,0.01955142460108555,0.1391721774695134,-0.08778146174628382,-0.02393792101334311,0.01713777940528553,-0.027582425936175357,0.017257157046307026,0.0008056911664888763,0.004551867242760024,-0.0010393600045547201,0.003542733618590622,-0.0033144691221004795,0.004885893877677213,-0.002253673387451634,-0.0031845859509117827,-0.0052243094380768915,0.014018747877845652,0.004055106109428837,-0.004830778511336092
C02_2m_22133637,C02,2m,22133637,26,0.8793728696477425,0.020487262433768284,0.21225570644603795,-0.08910960887420342,0.0768037099822765,-0.18661292599777457,0.2891455579182888,0.057355807132456166,0.15545552833819964,0.03800070932101436,0.07179361803600483,0.08654161787244871,-0.02702731286392266,-0.056327458902896047,0.0011421169910892184,-0.046876857307524084,0.017733246143429977,-0.004124219000548521,-0.02011762431240984,0.022924436981594597,-0.012129620502695252,0.03324497445330215,0.004970088888951817,0.009709610290063602,0.008299695390930773,-0.01923488288225413,-0.005800084722469046,-0.023896115936496525,0.007186908761051506,-0.008489770686028731,-0.0018556726835441712,-0.0024891774873752465
E01_2m_22133653,E01,2m,22133653,27,0.8245344918794303,-0.30904897193568254,-0.08589111867751763,0.2696233166704173,0.053295859398584784,0.25363736892438715,0.1436576142533328,0.003003986303591587,-0.04770062747744285,-0.16000121602749803,0.060848897675684306,-0.008744740197815383,-0.15788536667870048,0.002875027715710228,0.01278299875790997,-0.021610160478166072,0.0068695529542257,0.01579181401113005,0.0032466116945861294,0.019396813082332275,-0.012745882140773473,0.008396261147205073,-0.002175667125336296,-0.0037333582098914016,-0.01395493076899672,0.005944167891716762,-0.007332569195777706,0.00461768136322573,-0.009726120707839486,0.008334752211329169,-0.007152691419972037,-0.021901036334498337
B02_1m_22133663,B02,1m,22133663,28,0.7648362527940347,0.5264184344379854,-0.2779704374031232,0.05097603598667572,-0.04139727112392407,-0.0032789665087607136,0.028472781580645725,-0.025845033572131235,0.0015187983589374982,0.03284614173142729,0.013113377628569785,-0.030641132400175807,0.051174418705160034,-0.027265944974976947,-0.028515143072776823,-0.005021916644499906,-0.013466292488892286,0.2169919990035143,0.05037963176090282,-0.004596359279543766,-0.005366510560175182,-0.0027899946817839206,-0.007582721503142844,0.012148876382708089,-0.01992621802202842,0.005318518578424426,-0.004983348681774987,-0.00045876898495666725,0.019603496107810776,-0.004186372258817315,0.0030310809148070246,-0.0030860179646734747
A01_1m_22133645,A01,1m,22133645,29,0.7991715774350656,0.05501732319140332,0.23035071432209003,-0.2968294190943524,-0.019543139662213865,0.13849964939561196,0.03699928851547026,-0.19428982464744182,-0.04434731300745055,0.28223912755043,0.12796177545307388,-0.05623600195919861,-0.09866231023631188,0.19089216566911094,0.10648196159012546,0.005013386352382043,0.03910347708310989,0.019123741353252257,-0.017537022850887173,0.0031851274316707545,0.002823554206365426,-0.0027996850722533124,0.00018200013689863965,0.0025586407268428073,0.0006502554238432577,-0.002111449270923359,1.8725671945359354e-05,1.9612087605788544e-05,0.0007151588442291048,0.0006434845728105706,-0.0002784331340684564,-0.00040101824865751483
B01_2m_22133687,B01,2m,22133687,30,0.7488916819657268,0.556064728157165,-0.2304005971770169,0.09885359233381533,-0.12228844240162254,0.04433422914139832,0.02807601264695375,-0.0017457759598396815,-0.06421454058918273,0.0508585021195085,0.011730550256586116,-0.07880678573811417,0.005835654419231198,-0.11903816377082248,0.05773210227835827,0.007549985876098231,0.032669242963829524,-0.1145382982504012,-0.06615740945694054,0.005836475685789386,0.007658246586240242,-0.013502255662536763,-0.027261652203305828,0.030332443132664463,-0.022430835005406886,-0.011501306291923955,0.008014671557110898,-0.0041219039224989545,-0.002161378602376252,-0.0008125049176008957,-0.001688989940124433,0.0005339829795606338
D02_1m_22133686,D02,1m,22133686,31,0.8291572027292637,-0.2133663175141008,0.003373260611851612,0.35780359726861827,0.06543535508710824,-0.18878696475418158,-0.03601365239047474,-0.22145809444194764,0.019843634578052403,0.05587763787697489,-0.20758836690134413,-0.014561093290002313,-0.029348578573720165,0.005625644837808402,0.017732740626773498,-0.007742668765786989,0.007942669812034443,-0.00044286725967309883,-0.0020972101960258127,-0.01205257061656357,-0.006475815227097306,-0.018775726524241868,0.03833867074057681,-0.0009860601644617148,-0.024009529957570334,-0.006273748374472653,-0.0014912064866747952,-0.017034253026579543,-0.009613505129841606,-0.0001238767985264931,-0.000928769761494908,0.0009553422320331215
B03_1m_22133624,B03,1m,22133624,32,0.7202503744475129,0.5637128179382527,-0.28371067215966883,0.042771674709380064,-0.024683672382186814,-0.09652347802104058,0.002908336554441139,0.015903034916884988,0.06488772540475972,-0.059730108118392786,0.008235991183982057,0.11119394576065444,-0.041476415106542756,0.13963462592975762,-0.017054343065773185,0.02526241447251392,-0.07996430525994211,-0.0216050959074451,0.15223123344023495,0.0014504020185242984,0.002711482220125282,-0.0018570200930768613,-0.012437776861812244,0.0075607340024581565,0.0047955033327164625,-0.015283279831677848,0.009374236914737584,-0.0028603387784345955,-0.02100959696621105,0.005166510624819972,-0.0024776030802526397,0.002620266819144662
