date,camp_id,temperature_min,temperature_max,temperature_mean,hourly_observations,temperature_std,elevation_first,latitude_first,longitude_first,nwis_id_first
1998-08-11,C-10,36.43,51.79,43.17,8,6.373182654126364,1196,59.57564,-133.70982,
1998-08-11,C-17,35.66,47.53,40.62875,8,4.640887961525097,1285,58.64721,-134.20635,
1998-08-11,C-18,31.72,43.92,36.74125,8,4.692898700620515,1705,59.34211,-134.10221,
1998-08-11,C-26,34.88,48.96,42.10625,8,5.053883761171061,1435,58.36737,-134.36638,
1998-08-11,C-30,34.1,61.48,51.6125,8,9.576793006310321,674,59.57544893154394,-133.70967902899886,
1998-08-11,C-8,25.93,38.72,32.805,8,5.189770157310849,2050,58.83497,-134.27643,
1998-08-12,C-10,40.97,54.58,47.92625,8,5.110336688656491,1196,59.57564,-133.70982,
1998-08-12,C-17,40.97,52.49,45.7,8,3.961716799570612,1285,58.64721,-134.20635,
1998-08-12,C-18,34.88,51.79,43.17625,8,6.239239737339794,1705,59.34211,-134.10221,
1998-08-12,C-26,37.2,51.08,45.1325,8,4.963042701523214,1435,58.36737,-134.36638,
1998-08-12,C-30,37.2,64.91,52.75375,8,10.175706275943977,674,59.57544893154394,-133.70967902899886,
1998-08-12,C-8,30.91,50.38,38.8025,8,8.02641665288529,2050,58.83497,-134.27643,
1998-08-13,C-10,43.19,50.38,46.44,8,2.80034691728415,1196,59.57564,-133.70982,
1998-08-13,C-17,42.46,46.82,44.28125,8,1.5544630446372314,1285,58.64721,-134.20635,
1998-08-13,C-18,40.23,44.65,42.262499999999996,8,1.793900379460513,1705,59.34211,-134.10221,
1998-08-13,C-26,41.72,46.82,44.0975,8,1.897778776811009,1435,58.36737,-134.36638,
1998-08-13,C-30,41.72,64.22,56.05375,8,8.219794814088381,674,59.57544893154394,-133.70967902899886,
1998-08-13,C-8,34.88,40.23,37.185,8,2.084541744776123,2050,58.83497,-134.27643,
1998-08-14,C-10,46.1,57.35,51.305,8,4.9324233394955055,1196,59.57564,-133.70982,
1998-08-14,C-17,43.92,52.49,47.5125,8,3.148050417094908,1285,58.64721,-134.20635,
1998-08-14,C-18,43.19,53.19,46.875,8,3.886493094221133,1705,59.34211,-134.10221,
1998-08-14,C-26,43.19,58.04,50.50625,8,5.087629078741602,1435,58.36737,-134.36638,
1998-08-14,C-30,46.82,75.22,58.12875,8,11.083933594558001,674,59.57544893154394,-133.70967902899886,
1998-08-14,C-8,37.97,43.92,41.23375,8,2.444632239359183,2050,58.83497,-134.27643,
1998-08-15,C-10,41.72,47.53,44.005,8,1.7543659823423392,1196,59.57564,-133.70982,
1998-08-15,C-17,42.46,46.1,44.375,8,1.2280530467835236,1285,58.64721,-134.20635,
1998-08-15,C-18,40.23,55.97,48.09875,8,5.462679712637117,1705,59.34211,-134.10221,
1998-08-15,C-26,43.92,58.73,52.80625,8,4.413670120044248,1435,58.36737,-134.36638,
1998-08-15,C-30,40.97,68.33,56.3775,8,9.830827243203608,674,59.57544893154394,-133.70967902899886,
1998-08-15,C-8,39.48,55.97,45.6725,8,5.353449488747552,2050,58.83497,-134.27643,
1998-08-16,C-10,41.72,45.38,43.27875,8,1.584806770555956,1196,59.57564,-133.70982,
1998-08-16,C-17,39.48,42.46,41.345,8,1.053592493736145,1285,58.64721,-134.20635,
1998-08-16,C-18,37.2,39.48,38.34375,8,0.7013240029707056,1705,59.34211,-134.10221,
1998-08-16,C-26,40.97,46.1,43.55,8,1.7051686133635011,1435,58.36737,-134.36638,
1998-08-16,C-30,50.38,65.59,57.323750000000004,8,5.565775359924513,674,59.57544893154394,-133.70967902899886,
1998-08-16,C-8,32.52,35.66,34.19375,8,0.9783796736003272,2050,58.83497,-134.27643,
1998-08-17,C-10,40.23,41.72,40.87875,8,0.4767580248781498,1196,59.57564,-133.70982,
1998-08-17,C-17,39.48,41.72,40.786249999999995,8,0.771842646806054,1285,58.64721,-134.20635,
1998-08-17,C-18,36.43,38.72,37.48625,8,0.8123499861512881,1705,59.34211,-134.10221,
1998-08-17,C-26,40.97,51.08,44.885,8,3.8548337003226028,1435,58.36737,-134.36638,
1998-08-17,C-30,54.58,63.54,57.77375,8,3.643969333021342,674,59.57544893154394,-133.70967902899886,
1998-08-17,C-8,31.72,34.88,33.10875,8,1.1767684260598734,2050,58.83497,-134.27643,
1998-08-18,C-10,37.2,43.19,40.02625,8,2.2186285178010303,1196,59.57564,-133.70982,
1998-08-18,C-17,35.66,40.97,37.19,8,1.619629587282228,1285,58.64721,-134.20635,
1998-08-18,C-18,30.91,36.43,33.49625,8,1.7735753840356325,1705,59.34211,-134.10221,
1998-08-18,C-26,35.66,44.65,41.22625,8,2.887227723712042,1435,58.36737,-134.36638,
1998-08-18,C-30,49.67,60.11,54.82625,8,3.6945942653712702,674,59.57544893154394,-133.70967902899886,
1998-08-18,C-8,25.93,31.72,29.67125,8,2.021197929800189,2050,58.83497,-134.27643,
1998-08-19,C-10,36.43,49.67,42.36,8,5.800283244315376,1196,59.57564,-133.70982,
1998-08-19,C-17,33.31,46.1,39.415,8,4.373645096320851,1285,58.64721,-134.20635,
1998-08-19,C-18,30.91,45.38,36.7125,8,5.517447002787738,1705,59.34211,-134.10221,
1998-08-19,C-26,34.88,46.1,39.7175,8,3.7031212703417022,1435,58.36737,-134.36638,
1998-08-19,C-30,41.72,69.71,52.83875,8,11.39721324021171,674,59.57544893154394,-133.70967902899886,
1998-08-19,C-8,25.93,40.23,32.20875,8,5.197016829737173,2050,58.83497,-134.27643,
1998-08-20,C-10,37.97,44.65,41.79375,8,2.2560707783983336,1196,59.57564,-133.70982,
1998-08-20,C-17,36.43,40.23,38.2425,8,1.4033913006916963,1285,58.64721,-134.20635,
1998-08-20,C-18,31.72,36.43,33.89125,8,1.713071072664528,1705,59.34211,-134.10221,
1998-08-20,C-26,37.2,42.46,39.2825,8,1.69155676396457,1435,58.36737,-134.36638,
1998-08-20,C-30,36.43,62.85,49.91625,8,10.168753171919782,674,59.57544893154394,-133.70967902899886,
1998-08-20,C-8,26.77,35.66,30.87125,8,3.023793442964365,2050,58.83497,-134.27643,
1998-08-21,C-10,37.2,38.72,37.48625,8,0.5666678921555367,1196,59.57564,-133.70982,
