Date Time,Temp (°F) LGR S/N: 22038781 c:1,Intensity (lum/ft²) LGR S/N: 22038781 c:2,Button Down LGR S/N: 22038781,Button Up LGR S/N: 22038781,Host Connected LGR S/N: 22038781,End Of File LGR S/N: 22038781
06/24/25 01:45:00,35.70,0.02,,,,
06/24/25 01:50:00,35.70,0.02,,,,
06/24/25 01:55:00,35.47,0.04,,,,
06/24/25 02:00:00,36.16,0.06,,,,
06/24/25 02:05:00,35.32,0.06,,,,
06/24/25 02:10:00,35.16,0.09,,,,
06/24/25 02:15:00,35.62,0.13,,,,
06/24/25 02:20:00,36.09,0.17,,,,
06/24/25 02:25:00,35.62,0.23,,,,
06/24/25 02:30:00,35.86,0.30,,,,
06/24/25 02:35:00,36.16,0.42,,,,
06/24/25 02:40:00,36.55,0.55,,,,
06/24/25 02:45:00,36.63,0.71,,,,
06/24/25 02:50:00,36.71,0.99,,,,
06/24/25 02:55:00,34.93,1.32,,,,
06/24/25 03:00:00,34.23,1.89,,,,
06/24/25 03:05:00,34.70,2.67,,,,
06/24/25 03:10:00,34.39,3.74,,,,
06/24/25 03:15:00,35.16,5.42,,,,
06/24/25 03:20:00,35.08,7.41,,,,
06/24/25 03:25:00,34.93,10.92,,,,
06/24/25 03:30:00,35.86,15.21,,,,
06/24/25 03:35:00,36.16,21.09,,,,
06/24/25 03:40:00,36.47,27.89,,,,
06/24/25 03:45:00,35.93,36.77,,,,
06/24/25 03:50:00,35.86,51.13,,,,
06/24/25 03:55:00,35.47,73.13,,,,
06/24/25 04:00:00,35.32,86.99,,,,
06/24/25 04:05:00,35.55,101.35,,,,
06/24/25 04:10:00,35.78,121.56,,,,
06/24/25 04:15:00,35.16,150.19,,,,
06/24/25 04:20:00,35.08,182.18,,,,
06/24/25 04:25:00,34.93,204.53,,,,
06/24/25 04:30:00,35.16,232.48,,,,
06/24/25 04:35:00,35.86,255.31,,,,
06/24/25 04:40:00,36.40,278.50,,,,
06/24/25 04:45:00,35.86,318.81,,,,
06/24/25 04:50:00,36.01,396.94,,,,
06/24/25 04:55:00,36.47,448.31,,,,
06/24/25 05:00:00,37.71,505.15,,,,
06/24/25 05:05:00,36.86,544.63,,,,
06/24/25 05:10:00,36.86,615.74,,,,
06/24/25 05:15:00,36.78,627.87,,,,
06/24/25 05:20:00,37.48,672.35,,,,
06/24/25 05:25:00,37.40,742.75,,,,
06/24/25 05:30:00,38.02,827.18,,,,
06/24/25 05:35:00,38.40,978.44,,,,
06/24/25 05:40:00,40.18,1069.76,,,,
06/24/25 05:45:00,39.56,1452.67,,,,
06/24/25 05:50:00,41.11,1206.28,,,,
06/24/25 05:55:00,41.57,1267.64,,,,
06/24/25 06:00:00,41.65,1104.96,,,,
06/24/25 06:05:00,39.41,1349.93,,,,
06/24/25 06:10:00,39.56,1604.88,,,,
06/24/25 06:15:00,39.95,1581.10,,,,
06/24/25 06:20:00,40.64,1581.57,,,,
06/24/25 06:25:00,40.10,1731.88,,,,
06/24/25 06:30:00,40.41,1780.40,,,,
06/24/25 06:35:00,40.33,1773.27,,,,
06/24/25 06:40:00,41.11,1846.99,,,,
06/24/25 06:45:00,42.11,1902.65,,,,
06/24/25 06:50:00,42.27,1996.83,,,,
06/24/25 06:55:00,43.50,2219.44,,,,
06/24/25 07:00:00,45.12,2315.52,,,,
06/24/25 07:05:00,46.51,2809.26,,,,
06/24/25 07:10:00,46.20,2764.54,,,,
06/24/25 07:15:00,46.13,2835.89,,,,
06/24/25 07:20:00,45.82,3173.61,,,,
06/24/25 07:25:00,48.52,3075.63,,,,
06/24/25 07:30:00,48.52,3561.75,,,,
06/24/25 07:35:00,48.37,3570.31,,,,
06/24/25 07:40:00,46.59,3671.15,,,,
06/24/25 07:45:00,46.74,3724.43,,,,
06/24/25 07:50:00,46.51,3671.15,,,,
06/24/25 07:55:00,45.97,3683.52,,,,
06/24/25 08:00:00,47.67,3923.26,,,,
06/24/25 08:05:00,48.44,3457.11,,,,
06/24/25 08:10:00,49.83,4695.73,,,,
06/24/25 08:15:00,50.68,4600.60,,,,
06/24/25 08:20:00,51.53,4722.37,,,,
06/24/25 08:25:00,51.38,4815.60,,,,
06/24/25 08:30:00,52.38,5154.27,,,,
06/24/25 08:35:00,54.93,5479.62,,,,
06/24/25 08:40:00,54.78,4865.06,,,,
06/24/25 08:45:00,56.09,5538.60,,,,
06/24/25 08:50:00,56.24,4889.80,,,,
06/24/25 08:55:00,54.62,4132.55,,,,
06/24/25 09:00:00,54.47,3796.73,,,,
06/24/25 09:05:00,53.00,3413.35,,,,
06/24/25 09:10:00,51.07,3091.80,,,,
06/24/25 09:15:00,52.38,3921.35,,,,
06/24/25 09:20:00,54.85,4802.28,,,,
06/24/25 09:25:00,60.10,5751.70,,,,
06/24/25 09:30:00,64.27,6668.77,,,,
06/24/25 09:35:00,64.74,6704.92,,,,
06/24/25 09:40:00,62.50,6080.86,,,,
06/24/25 09:45:00,64.50,6607.89,,,,
06/24/25 09:50:00,64.58,6307.27,,,,
06/24/25 09:55:00,65.20,6527.98,,,,
06/24/25 10:00:00,64.97,6078.95,,,,
06/24/25 10:05:00,64.04,5881.08,,,,
06/24/25 10:10:00,63.35,5717.45,,,,
06/24/25 10:15:00,61.42,6172.18,,,,
06/24/25 10:20:00,60.34,6507.05,,,,
06/24/25 10:25:00,61.18,6879.97,,,,
06/24/25 10:30:00,59.79,7062.62,,,,
06/24/25 10:35:00,60.26,7403.19,,,,
06/24/25 10:40:00,59.87,7395.58,,,,
06/24/25 10:45:00,60.26,7376.56,,,,
06/24/25 10:50:00,57.63,7410.80,,,,
06/24/25 10:55:00,57.48,7536.38,,,,
06/24/25 11:00:00,59.10,7751.38,,,,
06/24/25 11:05:00,59.72,7783.72,,,,
06/24/25 11:10:00,59.95,7861.73,,,,
06/24/25 11:15:00,60.26,7915.01,,,,
06/24/25 11:20:00,60.57,8002.53,,,,
06/24/25 11:25:00,61.11,8067.22,,,,
06/24/25 11:30:00,61.42,8154.74,,,,
06/24/25 11:35:00,62.42,8169.96,,,,
06/24/25 11:40:00,62.96,8147.13,,,,
06/24/25 11:45:00,63.42,8139.52,,,,
06/24/25 11:50:00,66.05,8398.28,,,,
06/24/25 11:55:00,66.13,8512.44,,,,
06/24/25 12:00:00,66.28,8736.95,,,,
06/24/25 12:05:00,66.67,8204.21,,,,
06/24/25 12:10:00,65.43,8470.58,,,,
06/24/25 12:15:00,65.74,8630.40,,,,
06/24/25 12:20:00,67.67,8934.82,,,,
06/24/25 12:25:00,66.74,8364.03,,,,
06/24/25 12:30:00,66.67,8432.52,,,,
06/24/25 12:35:00,68.75,8900.58,,,,
06/24/25 12:40:00,70.45,8870.13,,,,
06/24/25 12:45:00,71.38,8999.51,,,,
06/24/25 12:50:00,70.53,8466.77,,,,
06/24/25 12:55:00,70.45,8478.19,,,,
06/24/25 13:00:00,71.76,8626.59,,,,
06/24/25 13:05:00,74.00,8641.82,,,,
06/24/25 13:10:00,71.30,9018.54,,,,
06/24/25 13:15:00,71.07,9380.04,,,,
06/24/25 13:20:00,72.61,9246.86,,,,
06/24/25 13:25:00,72.23,8946.24,,,,
06/24/25 13:30:00,70.61,9277.30,,,,
06/24/25 13:35:00,70.45,9517.03,,,,
06/24/25 13:40:00,70.22,9604.55,,,,
06/24/25 13:45:00,73.31,9037.57,,,,
06/24/25 13:50:00,76.94,9475.17,,,,
06/24/25 13:55:00,76.40,9532.25,,,,
06/24/25 14:00:00,77.56,9642.61,,,,
06/24/25 14:05:00,75.55,8896.77,,,,
06/24/25 14:10:00,75.08,9144.11,,,,
06/24/25 14:15:00,75.08,8934.82,,,,
06/24/25 14:20:00,74.78,8691.28,,,,
06/24/25 14:25:00,72.46,8603.76,,,,
06/24/25 14:30:00,71.61,8523.85,,,,
06/24/25 14:35:00,72.07,8341.20,,,,
06/24/25 14:40:00,68.13,8116.69,,,,
06/24/25 14:45:00,66.20,8584.74,,,,
06/24/25 14:50:00,64.74,7934.03,,,,
06/24/25 14:55:00,65.66,8904.38,,,,
06/24/25 15:00:00,68.67,10133.49,,,,
06/24/25 15:05:00,71.53,11008.71,,,,
06/24/25 15:10:00,69.37,7915.01,,,,
06/24/25 15:15:00,68.06,7169.17,,,,
06/24/25 15:20:00,62.65,7169.17,,,,
06/24/25 15:25:00,62.27,6801.96,,,,
06/24/25 15:30:00,60.88,6573.64,,,,
06/24/25 15:35:00,60.72,7075.94,,,,
06/24/25 15:40:00,61.03,7119.70,,,,
06/24/25 15:45:00,62.27,7279.52,,,,
06/24/25 15:50:00,64.12,7094.97,,,,
