Date Time,Temp (°F) LGR S/N: 22038780 c:1,Intensity (lum/ft²) LGR S/N: 22038780 c:2,Button Down LGR S/N: 22038780,Button Up LGR S/N: 22038780,Host Connected LGR S/N: 22038780,End Of File LGR S/N: 22038780
06/24/25 02:55:00,35.01,1.58,,,,
06/24/25 03:00:00,34.70,2.25,,,,
06/24/25 03:05:00,34.85,2.92,,,,
06/24/25 03:10:00,35.01,4.09,,,,
06/24/25 03:15:00,34.77,5.69,,,,
06/24/25 03:20:00,34.85,8.20,,,,
06/24/25 03:25:00,34.85,11.09,,,,
06/24/25 03:30:00,34.85,14.99,,,,
06/24/25 03:35:00,34.85,19.85,,,,
06/24/25 03:40:00,34.70,27.04,,,,
06/24/25 03:45:00,34.47,36.63,,,,
06/24/25 03:50:00,35.01,48.06,,,,
06/24/25 03:55:00,35.01,63.11,,,,
06/24/25 04:00:00,34.62,79.58,,,,
06/24/25 04:05:00,34.62,107.05,,,,
06/24/25 04:10:00,34.70,126.59,,,,
06/24/25 04:15:00,34.77,147.63,,,,
06/24/25 04:20:00,34.70,165.00,,,,
06/24/25 04:25:00,34.93,183.96,,,,
06/24/25 04:30:00,34.77,223.14,,,,
06/24/25 04:35:00,34.77,271.01,,,,
06/24/25 04:40:00,35.01,309.54,,,,
06/24/25 04:45:00,35.47,369.83,,,,
06/24/25 04:50:00,35.78,414.90,,,,
06/24/25 04:55:00,36.24,459.73,,,,
06/24/25 05:00:00,36.47,500.63,,,,
06/24/25 05:05:00,36.55,546.06,,,,
06/24/25 05:10:00,36.94,605.75,,,,
06/24/25 05:15:00,37.01,676.15,,,,
06/24/25 05:20:00,37.01,747.74,,,,
06/24/25 05:25:00,37.71,829.79,,,,
06/24/25 05:30:00,37.63,943.47,,,,
06/24/25 05:35:00,38.33,1064.05,,,,
06/24/25 05:40:00,38.17,983.67,,,,
06/24/25 05:45:00,38.33,941.81,,,,
06/24/25 05:50:00,38.33,1304.26,,,,
06/24/25 05:55:00,38.64,1191.53,,,,
06/24/25 06:00:00,39.10,1277.15,,,,
06/24/25 06:05:00,38.94,1383.70,,,,
06/24/25 06:10:00,39.18,1499.28,,,,
06/24/25 06:15:00,39.79,1639.13,,,,
06/24/25 06:20:00,40.26,1821.78,,,,
06/24/25 06:25:00,40.95,1923.10,,,,
06/24/25 06:30:00,41.26,2118.60,,,,
06/24/25 06:35:00,41.49,2021.56,,,,
06/24/25 06:40:00,41.65,2059.61,,,,
06/24/25 06:45:00,45.82,2634.21,,,,
06/24/25 06:50:00,49.14,3209.76,,,,
06/24/25 06:55:00,46.59,2405.90,,,,
06/24/25 07:00:00,47.52,3017.60,,,,
06/24/25 07:05:00,47.44,3169.81,,,,
06/24/25 07:10:00,46.98,3271.60,,,,
06/24/25 07:15:00,46.20,3038.52,,,,
06/24/25 07:20:00,46.13,2922.46,,,,
06/24/25 07:25:00,45.97,3115.58,,,,
06/24/25 07:30:00,46.98,3597.90,,,,
06/24/25 07:35:00,47.28,3368.63,,,,
06/24/25 07:40:00,47.98,3586.49,,,,
