#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,Stopped,End of File
202,06/17/2025 09:35:00,4.59,,,,,,
203,06/17/2025 09:40:00,5.02,,,,,,
204,06/17/2025 09:45:00,5.49,,,,,,
205,06/17/2025 09:50:00,5.70,,,,,,
206,06/17/2025 09:55:00,6.00,,,,,,
207,06/17/2025 10:00:00,6.17,,,,,,
208,06/17/2025 10:05:00,5.92,,,,,,
209,06/17/2025 10:10:00,5.79,,,,,,
210,06/17/2025 10:15:00,5.62,,,,,,
211,06/17/2025 10:20:00,5.27,,,,,,
212,06/17/2025 10:25:00,4.97,,,,,,
213,06/17/2025 10:30:00,4.76,,,,,,
214,06/17/2025 10:35:00,4.76,,,,,,
215,06/17/2025 10:40:00,5.32,,,,,,
216,06/17/2025 10:45:00,5.49,,,,,,
217,06/17/2025 10:50:00,5.23,,,,,,
218,06/17/2025 10:55:00,5.23,,,,,,
219,06/17/2025 11:00:00,5.19,,,,,,
220,06/17/2025 11:05:00,4.93,,,,,,
221,06/17/2025 11:10:00,4.84,,,,,,
222,06/17/2025 11:15:00,4.84,,,,,,
223,06/17/2025 11:20:00,5.19,,,,,,
224,06/17/2025 11:25:00,5.66,,,,,,
225,06/17/2025 11:30:00,6.35,,,,,,
226,06/17/2025 11:35:00,6.78,,,,,,
227,06/17/2025 11:40:00,5.96,,,,,,
228,06/17/2025 11:45:00,6.43,,,,,,
229,06/17/2025 11:50:00,7.08,,,,,,
230,06/17/2025 11:55:00,7.03,,,,,,
231,06/17/2025 12:00:00,7.85,,,,,,
232,06/17/2025 12:05:00,6.82,,,,,,
233,06/17/2025 12:10:00,6.39,,,,,,
234,06/17/2025 12:15:00,7.16,,,,,,
235,06/17/2025 12:20:00,8.49,,,,,,
236,06/17/2025 12:25:00,8.36,,,,,,
237,06/17/2025 12:30:00,8.28,,,,,,
238,06/17/2025 12:35:00,8.92,,,,,,
239,06/17/2025 12:40:00,7.46,,,,,,
240,06/17/2025 12:45:00,7.29,,,,,,
241,06/17/2025 12:50:00,6.73,,,,,,
242,06/17/2025 12:55:00,6.26,,,,,,
243,06/17/2025 13:00:00,6.60,,,,,,
244,06/17/2025 13:05:00,8.23,,,,,,
245,06/17/2025 13:10:00,8.92,,,,,,
246,06/17/2025 13:15:00,7.72,,,,,,
247,06/17/2025 13:20:00,6.90,,,,,,
248,06/17/2025 13:25:00,5.75,,,,,,
249,06/17/2025 13:30:00,4.93,,,,,,
250,06/17/2025 13:35:00,4.76,,,,,,
251,06/17/2025 13:40:00,4.20,,,,,,
252,06/17/2025 13:45:00,4.80,,,,,,
253,06/17/2025 13:50:00,5.32,,,,,,
254,06/17/2025 13:55:00,5.27,,,,,,
255,06/17/2025 14:00:00,4.76,,,,,,
256,06/17/2025 14:05:00,5.57,,,,,,
257,06/17/2025 14:10:00,4.80,,,,,,
258,06/17/2025 14:15:00,3.77,,,,,,
259,06/17/2025 14:20:00,3.64,,,,,,
260,06/17/2025 14:25:00,3.69,,,,,,
261,06/17/2025 14:30:00,3.39,,,,,,
262,06/17/2025 14:35:00,4.16,,,,,,
263,06/17/2025 14:40:00,3.90,,,,,,
264,06/17/2025 14:45:00,3.82,,,,,,
265,06/17/2025 14:50:00,3.64,,,,,,
266,06/17/2025 14:55:00,4.20,,,,,,
267,06/17/2025 15:00:00,4.54,,,,,,
268,06/17/2025 15:05:00,3.94,,,,,,
269,06/17/2025 15:10:00,4.16,,,,,,
270,06/17/2025 15:15:00,4.50,,,,,,
271,06/17/2025 15:20:00,4.24,,,,,,
272,06/17/2025 15:25:00,3.69,,,,,,
273,06/17/2025 15:30:00,3.21,,,,,,
274,06/17/2025 15:35:00,2.74,,,,,,
275,06/17/2025 15:40:00,3.26,,,,,,
276,06/17/2025 15:45:00,2.83,,,,,,
277,06/17/2025 15:50:00,2.83,,,,,,
278,06/17/2025 15:55:00,2.96,,,,,,
279,06/17/2025 16:00:00,3.04,,,,,,
280,06/17/2025 16:05:00,2.83,,,,,,
281,06/17/2025 16:10:00,2.87,,,,,,
282,06/17/2025 16:15:00,3.56,,,,,,
283,06/17/2025 16:20:00,3.73,,,,,,
284,06/17/2025 16:25:00,4.07,,,,,,
285,06/17/2025 16:30:00,4.07,,,,,,
286,06/17/2025 16:35:00,3.60,,,,,,
287,06/17/2025 16:40:00,4.07,,,,,,
288,06/17/2025 16:45:00,2.91,,,,,,
289,06/17/2025 16:50:00,3.17,,,,,,
290,06/17/2025 16:55:00,3.43,,,,,,
291,06/17/2025 17:00:00,2.79,,,,,,
292,06/17/2025 17:05:00,2.40,,,,,,
293,06/17/2025 17:10:00,1.88,,,,,,
294,06/17/2025 17:15:00,2.40,,,,,,
295,06/17/2025 17:20:00,2.91,,,,,,
296,06/17/2025 17:25:00,3.47,,,,,,
297,06/17/2025 17:30:00,3.39,,,,,,
298,06/17/2025 17:35:00,3.09,,,,,,
299,06/17/2025 17:40:00,4.07,,,,,,
300,06/17/2025 17:45:00,3.69,,,,,,
301,06/17/2025 17:50:00,3.21,,,,,,
302,06/17/2025 17:55:00,3.34,,,,,,
303,06/17/2025 18:00:00,3.26,,,,,,
304,06/17/2025 18:05:00,3.26,,,,,,
305,06/17/2025 18:10:00,2.96,,,,,,
306,06/17/2025 18:15:00,2.70,,,,,,
307,06/17/2025 18:20:00,3.09,,,,,,
308,06/17/2025 18:25:00,3.30,,,,,,
309,06/17/2025 18:30:00,3.69,,,,,,
310,06/17/2025 18:35:00,4.03,,,,,,
311,06/17/2025 18:40:00,3.94,,,,,,
312,06/17/2025 18:45:00,3.60,,,,,,
313,06/17/2025 18:50:00,3.21,,,,,,
314,06/17/2025 18:55:00,3.30,,,,,,
315,06/17/2025 19:00:00,4.37,,,,,,
316,06/17/2025 19:05:00,4.80,,,,,,
317,06/17/2025 19:10:00,4.84,,,,,,
318,06/17/2025 19:15:00,4.03,,,,,,
319,06/17/2025 19:20:00,3.52,,,,,,
320,06/17/2025 19:25:00,3.52,,,,,,
321,06/17/2025 19:30:00,3.90,,,,,,
322,06/17/2025 19:35:00,3.21,,,,,,
323,06/17/2025 19:40:00,3.21,,,,,,
