#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
321,06/17/2025 19:30:00,6.39,,,,,
322,06/17/2025 19:35:00,7.33,,,,,
323,06/17/2025 19:40:00,7.76,,,,,
324,06/17/2025 19:45:00,6.65,,,,,
325,06/17/2025 19:50:00,5.66,,,,,
326,06/17/2025 19:55:00,4.93,,,,,
327,06/17/2025 20:00:00,4.33,,,,,
328,06/17/2025 20:05:00,3.77,,,,,
329,06/17/2025 20:10:00,4.07,,,,,
330,06/17/2025 20:15:00,4.46,,,,,
331,06/17/2025 20:20:00,4.54,,,,,
332,06/17/2025 20:25:00,4.07,,,,,
333,06/17/2025 20:30:00,3.99,,,,,
334,06/17/2025 20:35:00,3.94,,,,,
335,06/17/2025 20:40:00,4.16,,,,,
336,06/17/2025 20:45:00,4.50,,,,,
337,06/17/2025 20:50:00,5.19,,,,,
338,06/17/2025 20:55:00,5.75,,,,,
339,06/17/2025 21:00:00,6.22,,,,,
340,06/17/2025 21:05:00,6.17,,,,,
341,06/17/2025 21:10:00,5.57,,,,,
342,06/17/2025 21:15:00,5.10,,,,,
343,06/17/2025 21:20:00,4.93,,,,,
344,06/17/2025 21:25:00,4.89,,,,,
345,06/17/2025 21:30:00,4.42,,,,,
346,06/17/2025 21:35:00,4.67,,,,,
347,06/17/2025 21:40:00,4.97,,,,,
348,06/17/2025 21:45:00,5.10,,,,,
349,06/17/2025 21:50:00,5.15,,,,,
350,06/17/2025 21:55:00,5.10,,,,,
351,06/17/2025 22:00:00,4.89,,,,,
352,06/17/2025 22:05:00,5.15,,,,,
353,06/17/2025 22:10:00,4.54,,,,,
354,06/17/2025 22:15:00,3.86,,,,,
355,06/17/2025 22:20:00,4.07,,,,,
356,06/17/2025 22:25:00,3.86,,,,,
357,06/17/2025 22:30:00,4.37,,,,,
358,06/17/2025 22:35:00,4.33,,,,,
359,06/17/2025 22:40:00,4.50,,,,,
360,06/17/2025 22:45:00,4.50,,,,,
361,06/17/2025 22:50:00,4.16,,,,,
362,06/17/2025 22:55:00,4.46,,,,,
363,06/17/2025 23:00:00,4.20,,,,,
364,06/17/2025 23:05:00,3.99,,,,,
365,06/17/2025 23:10:00,3.90,,,,,
366,06/17/2025 23:15:00,3.69,,,,,
367,06/17/2025 23:20:00,3.69,,,,,
368,06/17/2025 23:25:00,3.77,,,,,
369,06/17/2025 23:30:00,3.73,,,,,
370,06/17/2025 23:35:00,3.99,,,,,
371,06/17/2025 23:40:00,4.16,,,,,
372,06/17/2025 23:45:00,4.16,,,,,
373,06/17/2025 23:50:00,4.50,,,,,
374,06/17/2025 23:55:00,4.29,,,,,
375,06/18/2025 00:00:00,4.12,,,,,
376,06/18/2025 00:05:00,4.20,,,,,
377,06/18/2025 00:10:00,4.16,,,,,
378,06/18/2025 00:15:00,3.60,,,,,
379,06/18/2025 00:20:00,3.47,,,,,
380,06/18/2025 00:25:00,3.04,,,,,
381,06/18/2025 00:30:00,3.47,,,,,
382,06/18/2025 00:35:00,3.94,,,,,
383,06/18/2025 00:40:00,4.07,,,,,
384,06/18/2025 00:45:00,4.03,,,,,
385,06/18/2025 00:50:00,5.36,,,,,
386,06/18/2025 00:55:00,6.05,,,,,
387,06/18/2025 01:00:00,7.08,,,,,
388,06/18/2025 01:05:00,7.55,,,,,
389,06/18/2025 01:10:00,7.85,,,,,
390,06/18/2025 01:15:00,7.72,,,,,
391,06/18/2025 01:20:00,7.72,,,,,
392,06/18/2025 01:25:00,7.12,,,,,
393,06/18/2025 01:30:00,7.85,,,,,
394,06/18/2025 01:35:00,7.89,,,,,
395,06/18/2025 01:40:00,7.98,,,,,
396,06/18/2025 01:45:00,7.89,,,,,
397,06/18/2025 01:50:00,7.98,,,,,
398,06/18/2025 01:55:00,7.46,,,,,
399,06/18/2025 02:00:00,6.69,,,,,
400,06/18/2025 02:05:00,6.17,,,,,
401,06/18/2025 02:10:00,6.13,,,,,
402,06/18/2025 02:15:00,5.83,,,,,
403,06/18/2025 02:20:00,5.45,,,,,
404,06/18/2025 02:25:00,5.45,,,,,
405,06/18/2025 02:30:00,6.22,,,,,
406,06/18/2025 02:35:00,6.26,,,,,
407,06/18/2025 02:40:00,6.99,,,,,
408,06/18/2025 02:45:00,6.52,,,,,
409,06/18/2025 02:50:00,5.96,,,,,
410,06/18/2025 02:55:00,5.02,,,,,
411,06/18/2025 03:00:00,4.72,,,,,
412,06/18/2025 03:05:00,4.76,,,,,
413,06/18/2025 03:10:00,4.54,,,,,
414,06/18/2025 03:15:00,4.59,,,,,
415,06/18/2025 03:20:00,5.23,,,,,
416,06/18/2025 03:25:00,4.89,,,,,
417,06/18/2025 03:30:00,4.63,,,,,
418,06/18/2025 03:35:00,5.32,,,,,
419,06/18/2025 03:40:00,4.50,,,,,
420,06/18/2025 03:45:00,4.20,,,,,
421,06/18/2025 03:50:00,4.16,,,,,
422,06/18/2025 03:55:00,5.06,,,,,
423,06/18/2025 04:00:00,5.02,,,,,
424,06/18/2025 04:05:00,5.45,,,,,
425,06/18/2025 04:10:00,5.62,,,,,
426,06/18/2025 04:15:00,4.72,,,,,
427,06/18/2025 04:20:00,5.23,,,,,
428,06/18/2025 04:25:00,5.66,,,,,
429,06/18/2025 04:30:00,5.53,,,,,
430,06/18/2025 04:35:00,5.49,,,,,
431,06/18/2025 04:40:00,5.36,,,,,
432,06/18/2025 04:45:00,5.23,,,,,
433,06/18/2025 04:50:00,6.22,,,,,
434,06/18/2025 04:55:00,6.56,,,,,
435,06/18/2025 05:00:00,6.30,,,,,
436,06/18/2025 05:05:00,6.09,,,,,
437,06/18/2025 05:10:00,6.00,,,,,
438,06/18/2025 05:15:00,5.66,,,,,
439,06/18/2025 05:20:00,5.36,,,,,
440,06/18/2025 05:25:00,5.75,,,,,
441,06/18/2025 05:30:00,5.87,,,,,
442,06/18/2025 05:35:00,6.39,,,,,
443,06/18/2025 05:40:00,6.30,,,,,
444,06/18/2025 05:45:00,6.22,,,,,
445,06/18/2025 05:50:00,6.09,,,,,
446,06/18/2025 05:55:00,5.36,,,,,
447,06/18/2025 06:00:00,5.40,,,,,
448,06/18/2025 06:05:00,6.17,,,,,
449,06/18/2025 06:10:00,6.60,,,,,
450,06/18/2025 06:15:00,6.39,,,,,
451,06/18/2025 06:20:00,6.09,,,,,
452,06/18/2025 06:25:00,5.62,,,,,
453,06/18/2025 06:30:00,5.53,,,,,
454,06/18/2025 06:35:00,5.83,,,,,
455,06/18/2025 06:40:00,5.96,,,,,
456,06/18/2025 06:45:00,6.35,,,,,
457,06/18/2025 06:50:00,6.00,,,,,
458,06/18/2025 06:55:00,5.57,,,,,
459,06/18/2025 07:00:00,5.36,,,,,
460,06/18/2025 07:05:00,5.27,,,,,
461,06/18/2025 07:10:00,5.49,,,,,
462,06/18/2025 07:15:00,5.87,,,,,
463,06/18/2025 07:20:00,5.66,,,,,
464,06/18/2025 07:25:00,5.62,,,,,
465,06/18/2025 07:30:00,5.79,,,,,
466,06/18/2025 07:35:00,5.57,,,,,
467,06/18/2025 07:40:00,5.36,,,,,
468,06/18/2025 07:45:00,5.23,,,,,
469,06/18/2025 07:50:00,5.10,,,,,
470,06/18/2025 07:55:00,5.02,,,,,
471,06/18/2025 08:00:00,5.27,,,,,
472,06/18/2025 08:05:00,5.49,,,,,
473,06/18/2025 08:10:00,5.79,,,,,
474,06/18/2025 08:15:00,5.96,,,,,
475,06/18/2025 08:20:00,6.17,,,,,
476,06/18/2025 08:25:00,6.26,,,,,
477,06/18/2025 08:30:00,6.52,,,,,
478,06/18/2025 08:35:00,6.73,,,,,
479,06/18/2025 08:40:00,6.82,,,,,
480,06/18/2025 08:45:00,6.69,,,,,
481,06/18/2025 08:50:00,6.52,,,,,
482,06/18/2025 08:55:00,6.69,,,,,
483,06/18/2025 09:00:00,6.35,,,,,
484,06/18/2025 09:05:00,6.09,,,,,
485,06/18/2025 09:10:00,5.75,,,,,
486,06/18/2025 09:15:00,5.49,,,,,
487,06/18/2025 09:20:00,5.23,,,,,
