"Plot Title: 10568642"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10568642, SEN S/N: 10568642)","Intensity, lum/ft² (LGR S/N: 10568642, SEN S/N: 10568642)","Bad Battery (LGR S/N: 10568642, SEN S/N: 10568642)","End Of File (LGR S/N: 10568642, SEN S/N: 10568642)"
219,06/16/25 03:10:00 AM,37.870,0.0,,
220,06/16/25 03:15:00 AM,37.870,0.0,,
221,06/16/25 03:20:00 AM,37.870,0.0,,
222,06/16/25 03:25:00 AM,37.870,0.0,,
223,06/16/25 03:30:00 AM,37.679,0.0,,
224,06/16/25 03:35:00 AM,37.679,0.0,,
225,06/16/25 03:40:00 AM,37.679,0.0,,
226,06/16/25 03:45:00 AM,37.488,0.0,,
227,06/16/25 03:50:00 AM,37.488,0.0,,
228,06/16/25 03:55:00 AM,37.488,0.0,,
229,06/16/25 04:00:00 AM,37.488,0.0,,
230,06/16/25 04:05:00 AM,37.488,0.0,,
231,06/16/25 04:10:00 AM,37.297,0.0,,
232,06/16/25 04:15:00 AM,37.297,0.0,,
233,06/16/25 04:20:00 AM,37.297,0.0,,
234,06/16/25 04:25:00 AM,37.297,0.0,,
235,06/16/25 04:30:00 AM,37.297,0.0,,
236,06/16/25 04:35:00 AM,37.107,0.0,,
237,06/16/25 04:40:00 AM,37.107,0.0,,
238,06/16/25 04:45:00 AM,37.107,0.0,,
239,06/16/25 04:50:00 AM,37.107,0.0,,
240,06/16/25 04:55:00 AM,37.107,0.0,,
241,06/16/25 05:00:00 AM,37.107,0.0,,
242,06/16/25 05:05:00 AM,36.914,0.0,,
243,06/16/25 05:10:00 AM,36.914,0.0,,
244,06/16/25 05:15:00 AM,36.914,0.0,,
245,06/16/25 05:20:00 AM,36.914,0.0,,
246,06/16/25 05:25:00 AM,36.914,0.0,,
247,06/16/25 05:30:00 AM,36.914,0.0,,
248,06/16/25 05:35:00 AM,36.914,0.0,,
249,06/16/25 05:40:00 AM,36.723,0.0,,
250,06/16/25 05:45:00 AM,36.723,0.0,,
251,06/16/25 05:50:00 AM,36.723,0.0,,
252,06/16/25 05:55:00 AM,36.723,0.0,,
253,06/16/25 06:00:00 AM,36.723,0.0,,
254,06/16/25 06:05:00 AM,36.723,0.0,,
255,06/16/25 06:10:00 AM,36.531,0.0,,
256,06/16/25 06:15:00 AM,36.531,0.0,,
257,06/16/25 06:20:00 AM,36.531,0.0,,
258,06/16/25 06:25:00 AM,36.531,0.0,,
259,06/16/25 06:30:00 AM,36.531,0.0,,
260,06/16/25 06:35:00 AM,36.531,0.0,,
261,06/16/25 06:40:00 AM,36.531,0.0,,
262,06/16/25 06:45:00 AM,36.531,0.0,,
263,06/16/25 06:50:00 AM,36.531,0.0,,
264,06/16/25 06:55:00 AM,36.531,0.0,,
265,06/16/25 07:00:00 AM,36.531,0.0,,
266,06/16/25 07:05:00 AM,36.723,0.0,,
267,06/16/25 07:10:00 AM,36.723,0.0,,
268,06/16/25 07:15:00 AM,36.723,0.0,,
269,06/16/25 07:20:00 AM,36.723,0.0,,
270,06/16/25 07:25:00 AM,36.723,0.0,,
271,06/16/25 07:30:00 AM,36.914,0.0,,
272,06/16/25 07:35:00 AM,36.914,0.0,,
273,06/16/25 07:40:00 AM,36.914,0.0,,
274,06/16/25 07:45:00 AM,36.914,0.0,,
275,06/16/25 07:50:00 AM,36.914,0.0,,
276,06/16/25 07:55:00 AM,37.107,0.0,,
277,06/16/25 08:00:00 AM,37.107,0.0,,
278,06/16/25 08:05:00 AM,37.107,0.0,,
279,06/16/25 08:10:00 AM,37.107,0.0,,
280,06/16/25 08:15:00 AM,37.107,0.0,,
281,06/16/25 08:20:00 AM,37.107,0.0,,
282,06/16/25 08:25:00 AM,37.107,0.0,,
283,06/16/25 08:30:00 AM,37.297,0.0,,
284,06/16/25 08:35:00 AM,37.297,0.0,,
285,06/16/25 08:40:00 AM,37.297,0.0,,
286,06/16/25 08:45:00 AM,37.488,0.0,,
287,06/16/25 08:50:00 AM,37.488,0.0,,
288,06/16/25 08:55:00 AM,37.488,0.0,,
289,06/16/25 09:00:00 AM,37.488,0.0,,
290,06/16/25 09:05:00 AM,37.679,0.0,,
291,06/16/25 09:10:00 AM,37.870,0.0,,
292,06/16/25 09:15:00 AM,38.061,0.0,,
293,06/16/25 09:20:00 AM,37.870,0.0,,
294,06/16/25 09:25:00 AM,37.679,0.0,,
295,06/16/25 09:30:00 AM,37.488,0.0,,
296,06/16/25 09:35:00 AM,37.488,0.0,,
297,06/16/25 09:40:00 AM,37.488,0.0,,
298,06/16/25 09:45:00 AM,37.488,0.0,,
299,06/16/25 09:50:00 AM,37.297,0.0,,
300,06/16/25 09:55:00 AM,37.297,0.0,,
301,06/16/25 10:00:00 AM,37.297,0.0,,
302,06/16/25 10:05:00 AM,37.297,0.0,,
303,06/16/25 10:10:00 AM,37.297,0.0,,
304,06/16/25 10:15:00 AM,37.297,0.0,,
305,06/16/25 10:20:00 AM,37.107,0.0,,
306,06/16/25 10:25:00 AM,37.107,0.0,,
307,06/16/25 10:30:00 AM,37.297,0.0,,
308,06/16/25 10:35:00 AM,37.488,0.0,,
309,06/16/25 10:40:00 AM,37.488,0.0,,
310,06/16/25 10:45:00 AM,37.488,0.0,,
311,06/16/25 10:50:00 AM,37.488,0.0,,
312,06/16/25 10:55:00 AM,37.488,0.0,,
313,06/16/25 11:00:00 AM,37.488,0.0,,
314,06/16/25 11:05:00 AM,37.488,0.0,,
315,06/16/25 11:10:00 AM,37.488,0.0,,
316,06/16/25 11:15:00 AM,37.488,0.0,,
317,06/16/25 11:20:00 AM,37.488,0.0,,
318,06/16/25 11:25:00 AM,37.488,0.0,,
319,06/16/25 11:30:00 AM,37.297,0.0,,
320,06/16/25 11:35:00 AM,37.488,0.0,,
321,06/16/25 11:40:00 AM,37.297,0.0,,
322,06/16/25 11:45:00 AM,37.297,0.0,,
323,06/16/25 11:50:00 AM,37.297,0.0,,
324,06/16/25 11:55:00 AM,37.297,0.0,,
325,06/16/25 12:00:00 PM,37.297,0.0,,
326,06/16/25 12:05:00 PM,37.297,0.0,,
327,06/16/25 12:10:00 PM,37.297,0.0,,
328,06/16/25 12:15:00 PM,37.297,0.0,,
329,06/16/25 12:20:00 PM,37.297,0.0,,
330,06/16/25 12:25:00 PM,37.297,0.0,,
331,06/16/25 12:30:00 PM,37.297,0.0,,
332,06/16/25 12:35:00 PM,37.297,0.0,,
333,06/16/25 12:40:00 PM,37.297,0.0,,
334,06/16/25 12:45:00 PM,37.297,0.0,,
335,06/16/25 12:50:00 PM,37.488,0.0,,
336,06/16/25 12:55:00 PM,37.297,0.0,,
337,06/16/25 01:00:00 PM,37.297,0.0,,
338,06/16/25 01:05:00 PM,37.297,0.0,,
339,06/16/25 01:10:00 PM,37.297,0.0,,
340,06/16/25 01:15:00 PM,37.297,0.0,,
341,06/16/25 01:20:00 PM,37.488,0.0,,
342,06/16/25 01:25:00 PM,37.679,0.0,,
343,06/16/25 01:30:00 PM,37.870,0.0,,
344,06/16/25 01:35:00 PM,37.870,0.0,,
345,06/16/25 01:40:00 PM,37.870,0.0,,
346,06/16/25 01:45:00 PM,38.061,0.0,,
347,06/16/25 01:50:00 PM,38.061,0.0,,
348,06/16/25 01:55:00 PM,38.061,0.0,,
349,06/16/25 02:00:00 PM,38.061,0.0,,
350,06/16/25 02:05:00 PM,38.250,0.0,,
351,06/16/25 02:10:00 PM,38.250,0.0,,
352,06/16/25 02:15:00 PM,38.250,0.0,,
353,06/16/25 02:20:00 PM,38.250,0.0,,
354,06/16/25 02:25:00 PM,38.250,0.0,,
355,06/16/25 02:30:00 PM,38.250,0.0,,
356,06/16/25 02:35:00 PM,38.250,0.0,,
357,06/16/25 02:40:00 PM,38.250,0.0,,
358,06/16/25 02:45:00 PM,38.250,0.0,,
359,06/16/25 02:50:00 PM,38.250,0.0,,
360,06/16/25 02:55:00 PM,38.250,0.0,,
361,06/16/25 03:00:00 PM,38.440,0.0,,
362,06/16/25 03:05:00 PM,38.440,0.0,,
363,06/16/25 03:10:00 PM,38.440,0.0,,
364,06/16/25 03:15:00 PM,38.440,0.0,,
365,06/16/25 03:20:00 PM,38.440,0.0,,
366,06/16/25 03:25:00 PM,38.440,15.0,,
367,06/16/25 03:30:00 PM,38.629,7.0,,
368,06/16/25 03:35:00 PM,38.818,10.0,,
369,06/16/25 03:40:00 PM,39.196,11.0,,
370,06/16/25 03:45:00 PM,39.573,15.0,,
371,06/16/25 03:50:00 PM,40.134,36.0,,
372,06/16/25 03:55:00 PM,40.321,39.0,,
373,06/16/25 04:00:00 PM,40.509,36.0,,
374,06/16/25 04:05:00 PM,40.696,37.0,,
375,06/16/25 04:10:00 PM,41.439,39.0,,
376,06/16/25 04:15:00 PM,40.134,5.0,,
377,06/16/25 04:20:00 PM,38.629,4.0,,
378,06/16/25 04:25:00 PM,37.679,2.0,,
379,06/16/25 04:30:00 PM,37.679,4.0,,
380,06/16/25 04:35:00 PM,37.488,3.0,,
381,06/16/25 04:40:00 PM,37.297,3.0,,
382,06/16/25 04:45:00 PM,37.297,5.0,,
383,06/16/25 04:50:00 PM,37.488,5.0,,
384,06/16/25 04:55:00 PM,37.870,6.0,,
385,06/16/25 05:00:00 PM,38.250,6.0,,
386,06/16/25 05:05:00 PM,37.679,9.0,,
387,06/16/25 05:10:00 PM,37.297,13.0,,
388,06/16/25 05:15:00 PM,37.107,12.0,,
389,06/16/25 05:20:00 PM,36.723,10.0,,
390,06/16/25 05:25:00 PM,36.338,9.0,,
391,06/16/25 05:30:00 PM,35.951,6.0,,
392,06/16/25 05:35:00 PM,35.758,5.0,,
393,06/16/25 05:40:00 PM,35.370,4.0,,
394,06/16/25 05:45:00 PM,35.175,4.0,,
395,06/16/25 05:50:00 PM,34.981,4.0,,
396,06/16/25 05:55:00 PM,34.981,4.0,,
397,06/16/25 06:00:00 PM,35.370,6.0,,
398,06/16/25 06:05:00 PM,35.370,4.0,,
399,06/16/25 06:10:00 PM,35.564,21.0,,
400,06/16/25 06:15:00 PM,36.145,14.0,,
401,06/16/25 06:20:00 PM,36.531,14.0,,
402,06/16/25 06:25:00 PM,36.145,14.0,,
403,06/16/25 06:30:00 PM,36.338,15.0,,
404,06/16/25 06:35:00 PM,36.914,13.0,,
405,06/16/25 06:40:00 PM,37.679,14.0,,
406,06/16/25 06:45:00 PM,38.250,33.0,,
407,06/16/25 06:50:00 PM,39.196,40.0,,
408,06/16/25 06:55:00 PM,41.625,41.0,,
409,06/16/25 07:00:00 PM,43.466,47.0,,
410,06/16/25 07:05:00 PM,44.379,29.0,,
411,06/16/25 07:10:00 PM,44.195,23.0,,
412,06/16/25 07:15:00 PM,45.104,26.0,,
413,06/16/25 07:20:00 PM,45.466,20.0,,
414,06/16/25 07:25:00 PM,45.286,28.0,,
415,06/16/25 07:30:00 PM,45.104,30.0,,
416,06/16/25 07:35:00 PM,45.466,41.0,,
417,06/16/25 07:40:00 PM,45.648,16.0,,
418,06/16/25 07:45:00 PM,45.104,16.0,,
419,06/16/25 07:50:00 PM,44.742,17.0,,
420,06/16/25 07:55:00 PM,44.742,24.0,,
421,06/16/25 08:00:00 PM,45.286,29.0,,
422,06/16/25 08:05:00 PM,46.008,32.0,,
423,06/16/25 08:10:00 PM,46.908,20.0,,
424,06/16/25 08:15:00 PM,46.728,11.0,,
425,06/16/25 08:20:00 PM,45.828,11.0,,
426,06/16/25 08:25:00 PM,45.104,11.0,,
427,06/16/25 08:30:00 PM,44.560,12.0,,
428,06/16/25 08:35:00 PM,44.922,54.0,,
429,06/16/25 08:40:00 PM,46.728,46.0,,
430,06/16/25 08:45:00 PM,48.517,63.0,,
