Date Time,Temp (°F) LGR S/N: 10383462 c:1,Intensity (lum/ft²) LGR S/N: 10383462 c:2,Coupler Attached LGR S/N: 10383462,Host Connected LGR S/N: 10383462,Stopped LGR S/N: 10383462,End Of File LGR S/N: 10383462
06/23/25 00:10:00,42.179,0.0,,,,
06/23/25 00:15:00,41.994,0.0,,,,
06/23/25 00:20:00,41.810,0.0,,,,
06/23/25 00:25:00,41.810,0.0,,,,
06/23/25 00:30:00,41.625,0.0,,,,
06/23/25 00:35:00,41.439,0.0,,,,
06/23/25 00:40:00,41.439,0.0,,,,
06/23/25 00:45:00,41.254,0.0,,,,
06/23/25 00:50:00,41.067,0.0,,,,
06/23/25 00:55:00,41.067,0.0,,,,
06/23/25 01:00:00,40.881,0.0,,,,
06/23/25 01:05:00,40.696,0.0,,,,
06/23/25 01:10:00,40.696,0.0,,,,
06/23/25 01:15:00,40.509,0.0,,,,
06/23/25 01:20:00,40.509,0.0,,,,
06/23/25 01:25:00,40.321,0.0,,,,
06/23/25 01:30:00,40.321,0.0,,,,
06/23/25 01:35:00,40.134,0.0,,,,
06/23/25 01:40:00,40.134,0.0,,,,
06/23/25 01:45:00,39.947,0.0,,,,
06/23/25 01:50:00,39.947,0.0,,,,
06/23/25 01:55:00,39.760,0.0,,,,
06/23/25 02:00:00,39.760,0.0,,,,
06/23/25 02:05:00,39.573,0.0,,,,
06/23/25 02:10:00,39.573,0.0,,,,
06/23/25 02:15:00,39.573,0.0,,,,
06/23/25 02:20:00,39.384,0.0,,,,
06/23/25 02:25:00,39.384,0.0,,,,
06/23/25 02:30:00,39.196,0.0,,,,
06/23/25 02:35:00,39.196,0.0,,,,
06/23/25 02:40:00,39.196,0.0,,,,
06/23/25 02:45:00,39.007,0.0,,,,
06/23/25 02:50:00,39.007,0.0,,,,
06/23/25 02:55:00,38.818,0.0,,,,
06/23/25 03:00:00,38.818,0.0,,,,
06/23/25 03:05:00,38.818,0.0,,,,
06/23/25 03:10:00,38.818,0.0,,,,
06/23/25 03:15:00,38.629,0.0,,,,
06/23/25 03:20:00,38.629,0.0,,,,
06/23/25 03:25:00,38.629,0.0,,,,
06/23/25 03:30:00,38.629,0.0,,,,
06/23/25 03:35:00,38.629,0.0,,,,
06/23/25 03:40:00,38.629,0.0,,,,
06/23/25 03:45:00,38.440,0.0,,,,
06/23/25 03:50:00,38.440,0.0,,,,
06/23/25 03:55:00,38.440,0.0,,,,
06/23/25 04:00:00,38.440,0.0,,,,
06/23/25 04:05:00,38.440,0.0,,,,
06/23/25 04:10:00,38.440,0.0,,,,
06/23/25 04:15:00,38.440,0.0,,,,
06/23/25 04:20:00,38.250,0.0,,,,
06/23/25 04:25:00,38.250,0.0,,,,
06/23/25 04:30:00,38.250,0.0,,,,
06/23/25 04:35:00,38.250,0.0,,,,
06/23/25 04:40:00,38.250,0.0,,,,
06/23/25 04:45:00,38.061,0.0,,,,
06/23/25 04:50:00,38.629,0.0,,,,
06/23/25 04:55:00,39.007,0.0,,,,
06/23/25 05:00:00,39.007,0.0,,,,
06/23/25 05:05:00,39.007,0.0,,,,
06/23/25 05:10:00,39.196,0.0,,,,
06/23/25 05:15:00,39.384,0.0,,,,
06/23/25 05:20:00,39.384,0.0,,,,
06/23/25 05:25:00,39.573,0.0,,,,
06/23/25 05:30:00,39.573,0.0,,,,
06/23/25 05:35:00,39.760,0.0,,,,
06/23/25 05:40:00,39.947,0.0,,,,
06/23/25 05:45:00,40.134,0.0,,,,
06/23/25 05:50:00,39.760,0.0,,,,
06/23/25 05:55:00,40.134,0.0,,,,
06/23/25 06:00:00,42.548,0.0,,,,
06/23/25 06:05:00,42.179,0.0,,,,
06/23/25 06:10:00,39.947,0.0,,,,
06/23/25 06:15:00,39.573,0.0,,,,
06/23/25 06:20:00,41.625,0.0,,,,
06/23/25 06:25:00,41.994,0.0,,,,
06/23/25 06:30:00,42.548,0.0,,,,
06/23/25 06:35:00,43.648,0.0,,,,
06/23/25 06:40:00,43.466,0.0,,,,
06/23/25 06:45:00,41.994,0.0,,,,
06/23/25 06:50:00,41.254,0.0,,,,
06/23/25 06:55:00,42.179,0.0,,,,
06/23/25 07:00:00,42.915,0.0,,,,
06/23/25 07:05:00,46.188,0.0,,,,
06/23/25 07:10:00,45.648,0.0,,,,
06/23/25 07:15:00,45.648,0.0,,,,
06/23/25 07:20:00,44.560,0.0,,,,
06/23/25 07:25:00,44.560,0.0,,,,
06/23/25 07:30:00,44.922,0.0,,,,
06/23/25 07:35:00,45.286,0.0,,,,
06/23/25 07:40:00,46.908,0.0,,,,
06/23/25 07:45:00,45.286,0.0,,,,
06/23/25 07:50:00,45.286,0.0,,,,
06/23/25 07:55:00,44.922,0.0,,,,
06/23/25 08:00:00,44.195,0.0,,,,
06/23/25 08:05:00,44.013,0.0,,,,
06/23/25 08:10:00,44.013,0.0,,,,
06/23/25 08:15:00,44.560,0.0,,,,
06/23/25 08:20:00,44.742,0.0,,,,
06/23/25 08:25:00,45.286,0.0,,,,
06/23/25 08:30:00,47.802,0.0,,,,
06/23/25 08:35:00,48.871,0.0,,,,
06/23/25 08:40:00,46.728,0.0,,,,
06/23/25 08:45:00,46.548,0.0,,,,
06/23/25 08:50:00,47.624,0.0,,,,
06/23/25 08:55:00,48.339,0.0,,,,
06/23/25 09:00:00,47.982,0.0,,,,
06/23/25 09:05:00,47.982,0.0,,,,
06/23/25 09:10:00,49.937,0.0,,,,
06/23/25 09:15:00,50.113,0.0,,,,
06/23/25 09:20:00,49.228,0.0,,,,
06/23/25 09:25:00,49.937,0.0,,,,
06/23/25 09:30:00,48.695,0.0,,,,
06/23/25 09:35:00,48.339,0.0,,,,
06/23/25 09:40:00,48.339,0.0,,,,
06/23/25 09:45:00,49.404,0.0,,,,
06/23/25 09:50:00,49.404,0.0,,,,
06/23/25 09:55:00,49.050,0.0,,,,
06/23/25 10:00:00,48.695,0.0,,,,
06/23/25 10:05:00,46.728,0.0,,,,
06/23/25 10:10:00,44.742,0.0,,,,
06/23/25 10:15:00,43.831,0.0,,,,
06/23/25 10:20:00,44.742,0.0,,,,
06/23/25 10:25:00,46.188,0.0,,,,
06/23/25 10:30:00,47.266,0.0,,,,
06/23/25 10:35:00,47.624,0.0,,,,
06/23/25 10:40:00,47.624,0.0,,,,
06/23/25 10:45:00,49.050,0.0,,,,
06/23/25 10:50:00,47.802,0.0,,,,
06/23/25 10:55:00,47.266,0.0,,,,
06/23/25 11:00:00,47.802,0.0,,,,
06/23/25 11:05:00,48.339,0.0,,,,
06/23/25 11:10:00,48.517,0.0,,,,
06/23/25 11:15:00,50.113,0.0,,,,
06/23/25 11:20:00,48.160,0.0,,,,
06/23/25 11:25:00,48.517,0.0,,,,
06/23/25 11:30:00,47.446,0.0,,,,
06/23/25 11:35:00,44.742,0.0,,,,
06/23/25 11:40:00,44.560,0.0,,,,
06/23/25 11:45:00,45.828,0.0,,,,
06/23/25 11:50:00,47.088,0.0,,,,
06/23/25 11:55:00,46.728,0.0,,,,
06/23/25 12:00:00,48.339,0.0,,,,
06/23/25 12:05:00,49.228,0.0,,,,
06/23/25 12:10:00,53.449,0.0,,,,
06/23/25 12:15:00,53.798,0.0,,,,
06/23/25 12:20:00,51.346,0.0,,,,
06/23/25 12:25:00,48.695,0.0,,,,
06/23/25 12:30:00,48.871,0.0,,,,
06/23/25 12:35:00,48.339,0.0,,,,
06/23/25 12:40:00,49.228,0.0,,,,
06/23/25 12:45:00,49.228,0.0,,,,
06/23/25 12:50:00,48.517,0.0,,,,
