datetime_utc,wind_speed_avg,wind_speed_max,source,maximum_definition,site_id,height,maximum_sensor_id,mean_sensor_id,source_file,excess_m_s,ratio
2026-06-25 02:37:50,6.3646,8.551,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,2.1864,1.343525123338466
2026-06-25 02:42:50,6.7771,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2709000000000001,1.1875285889244662
2026-06-25 02:47:50,6.6362,8.048,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.4118000000000004,1.2127422320002412
2026-06-25 02:52:50,5.8784,7.545,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.6665999999999999,1.2835125204137179
2026-06-25 02:57:50,5.9253,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1166999999999998,1.1884630314076925
2026-06-25 03:02:50,6.3546,7.545,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1904000000000003,1.1873288641299218
2026-06-25 03:07:50,6.2707,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.7713000000000001,1.1230006219401343
2026-06-25 03:12:50,5.6504,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3915999999999995,1.2462834489593657
2026-06-25 03:17:50,5.7577,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.7812999999999999,1.1356965454955972
2026-06-25 03:22:50,5.9086,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1334,1.1918220898351555
2026-06-25 03:27:50,6.2271,7.545,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3178999999999998,1.2116394469335645
2026-06-25 03:32:50,6.539,7.545,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0060000000000002,1.153846153846154
2026-06-25 03:37:50,6.9951,8.551,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.5559000000000003,1.222427127560721
2026-06-25 03:42:50,6.5692,7.545,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9757999999999996,1.1485416793521281
2026-06-25 03:47:50,6.1903,7.545,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3547000000000002,1.2188423824370387
2026-06-25 03:52:50,6.207,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.835,1.1345255356855164
2026-06-25 03:57:50,5.8952,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1467999999999998,1.1945311439815443
2026-06-25 04:02:50,6.0595,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9824999999999999,1.162142090931595
2026-06-25 04:07:50,5.4022,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1368,1.210432786642479
2026-06-25 04:12:50,5.3251,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2138999999999998,1.227958160410133
2026-06-25 04:17:50,5.5565,7.545,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.9885000000000002,1.3578691622424188
2026-06-25 04:22:50,6.0561,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9859,1.162794537738809
2026-06-25 04:27:50,5.5632,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9757999999999996,1.1754026459591602
2026-06-25 04:32:50,5.4894,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0495999999999999,1.1912048675629394
2026-06-25 04:37:50,5.4626,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.5733999999999995,1.1049683300992201
2026-06-25 04:42:50,5.3016,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2374,1.2334012373623058
2026-06-25 04:47:50,5.2949,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2440999999999995,1.234961944512644
2026-06-25 04:52:50,5.7174,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8216000000000001,1.1437016825829922
2026-06-25 04:57:50,6.1936,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8483999999999998,1.1369801084990958
2026-06-25 05:02:50,5.9086,7.545,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.6364,1.2769522391090953
2026-06-25 05:07:50,5.1943,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8416999999999994,1.1620430086825944
2026-06-25 05:12:50,4.7181,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8149000000000006,1.1727178313304085
2026-06-25 05:17:50,5.0233,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.5097000000000005,1.1014671630203254
2026-06-25 05:22:50,5.1507,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3883,1.269536179548411
