"Plot Title: LCG-H 0"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 21714745, SEN S/N: 21714745)","Intensity, lum/ft² (LGR S/N: 21714745, SEN S/N: 21714745)","Button Down (LGR S/N: 21714745, SEN S/N: 21714745)","Button Up (LGR S/N: 21714745, SEN S/N: 21714745)","Host Connected (LGR S/N: 21714745, SEN S/N: 21714745)","End Of File (LGR S/N: 21714745, SEN S/N: 21714745)"
403,06/30/24 07:30:00 PM,44.04,391.23,,,,
404,06/30/24 07:45:00 PM,42.88,365.43,,,,
405,06/30/24 08:00:00 PM,43.96,376.60,,,,
406,06/30/24 08:15:00 PM,44.20,262.57,,,,
407,06/30/24 08:30:00 PM,42.96,190.98,,,,
408,06/30/24 08:45:00 PM,41.80,198.95,,,,
409,06/30/24 09:00:00 PM,41.18,180.04,,,,
410,06/30/24 09:15:00 PM,40.49,106.96,,,,
411,06/30/24 09:30:00 PM,40.80,49.10,,,,
412,06/30/24 09:45:00 PM,42.88,27.34,,,,
413,06/30/24 10:00:00 PM,39.56,15.93,,,,
414,06/30/24 10:15:00 PM,39.72,7.74,,,,
415,06/30/24 10:30:00 PM,39.18,2.79,,,,
416,06/30/24 10:45:00 PM,39.18,0.85,,,,
417,06/30/24 11:00:00 PM,40.26,0.32,,,,
418,06/30/24 11:15:00 PM,41.72,0.11,,,,
419,06/30/24 11:30:00 PM,42.11,0.04,,,,
420,06/30/24 11:45:00 PM,41.49,0.01,,,,
421,07/01/24 12:00:00 AM,40.80,0.01,,,,
422,07/01/24 12:15:00 AM,41.65,0.00,,,,
423,07/01/24 12:30:00 AM,40.95,0.00,,,,
424,07/01/24 12:45:00 AM,40.26,0.00,,,,
425,07/01/24 01:00:00 AM,40.49,0.00,,,,
426,07/01/24 01:15:00 AM,39.72,0.00,,,,
427,07/01/24 01:30:00 AM,39.64,0.00,,,,
428,07/01/24 01:45:00 AM,39.18,0.00,,,,
429,07/01/24 02:00:00 AM,39.25,0.00,,,,
430,07/01/24 02:15:00 AM,39.64,0.01,,,,
