site_id,site_type,processing_group,instrument_type,logger_serial,sensor_serial,height_m,shielding,deployed_at_utc,retrieved_at_utc,latitude,longitude,elevation_m,wind_direction_offset_deg,status,notes
A08,rmyoung,on_ice_intensive,rmyoung_logger,11708,5139,2,,2026-06-20T00:30:00Z,2026-07-22T23:11:00Z,58.76946752593566,-134.1942701,1545,,,
A08,rmyoung,on_ice_intensive,hobo_temp,22133649,,2,shielded,2026-06-20T00:30:00Z,2026-07-22T23:11:00Z,58.76946752593566,-134.1942701,1545,,,
A08,rmyoung,on_ice_intensive,hobo_temp,22133671,,1,shielded,2026-06-20T00:30:00Z,2026-07-22T23:11:00Z,58.76946752593566,-134.1942701,1545,,,
A10,intensive,on_ice_intensive,hobo_temp_light,22038776,,2,unshielded,2026-06-19T23:15:00Z,2026-07-22T21:53:00Z,58.81494075043849,-134.1821369,1764,,,
A10,intensive,on_ice_intensive,hobo_temp,22133654,,2,shielded,2026-06-19T23:15:00Z,2026-07-22T21:53:00Z,58.81494075043849,-134.1821369,1764,,,
A10,intensive,on_ice_intensive,pace_logger,EM54053,,2,unshielded,2026-06-19T23:15:00Z,2026-07-22T21:53:00Z,58.81494075043849,-134.1821369,1764,,,
A12,intensive,on_ice_intensive,hobo_temp_light,22038777,,2,unshielded,2026-06-19T22:00:00Z,2026-07-31T22:36:00Z,58.85856427389704,-134.1575876,1859,,,
A12,intensive,on_ice_intensive,hobo_temp,22133631,,2,shielded,2026-06-19T22:00:00Z,2026-07-31T22:36:00Z,58.85856427389704,-134.1575876,1859,,,
A12,intensive,on_ice_intensive,pace_logger,EM54052,,2,unshielded,2026-06-19T22:00:00Z,2026-07-31T22:36:00Z,58.85856427389704,-134.1575876,1859,,,
A13,rmyoung,on_ice_intensive,rmyoung_logger,11707,5143,2,,2026-06-22T02:56:00Z,2026-07-29T20:57:00Z,58.88270150186473,-134.1354793,1827,,,
A13,rmyoung,on_ice_intensive,hobo_temp,22133625,,1,shielded,2026-06-22T02:56:00Z,2026-07-29T20:57:00Z,58.88270150186473,-134.1354793,1827,,,
A13,rmyoung,on_ice_intensive,hobo_temp,22133641,,2,shielded,2026-06-22T02:56:00Z,2026-07-29T20:57:00Z,58.88270150186473,-134.1354793,1827,,,
A15,intensive,on_ice_intensive,hobo_temp_light,10568620,,2,unshielded,2026-06-25T01:03:00Z,2026-07-27T02:00:00Z,58.93606896808881,-134.099813,1703,,,
A15,intensive,on_ice_intensive,hobo_temp,22133634,,2,shielded,2026-06-25T01:03:00Z,2026-07-27T02:00:00Z,58.93606896808881,-134.099813,1703,,,
A15,intensive,on_ice_intensive,pace_logger,EM55055,,2,unshielded,2026-06-25T01:03:00Z,2026-07-27T02:00:00Z,58.93606896808881,-134.099813,1703,,,
A17,rmyoung,on_ice_intensive,rmyoung_logger,11709,,2,,2026-06-24T21:00:00Z,2026-07-19T20:32:00Z,58.98167881845333,-134.0782259,1561,,,
A17,rmyoung,on_ice_intensive,hobo_temp,22133636,,1,shielded,2026-06-24T21:00:00Z,2026-07-19T20:32:00Z,58.98167881845333,-134.0782259,1561,,,
A17,rmyoung,on_ice_intensive,hobo_temp,22133669,,2,shielded,2026-06-24T21:00:00Z,2026-07-19T20:32:00Z,58.98167881845333,-134.0782259,1561,,,
A18,intensive,on_ice_intensive,hobo_temp_light,22038781,,2,unshielded,2026-06-24T23:22:00Z,2026-08-04T21:32:00Z,59.018705335785114,-134.0858758,1395,,,
A18,intensive,on_ice_intensive,hobo_temp,22133646,,2,shielded,2026-06-24T23:22:00Z,2026-08-04T21:32:00Z,59.018705335785114,-134.0858758,1395,,,
A18,intensive,on_ice_intensive,pace_logger,EM54051,,2,unshielded,2026-06-24T23:22:00Z,2026-08-04T21:32:00Z,59.018705335785114,-134.0858758,1395,,,
T09,rmyoung,on_ice_intensive,rmyoung_logger,11706,5140,2,,2026-06-22T05:00:00Z,2026-07-31T20:38:00Z,58.83517888,-134.2785199,1675,,,At camp 18. No accompanying standard site.
